           YEAR,           JDAY,        QOMEAS1,         QOSIM1,        QOMEAS2,         QOSIM2,
           1980,            302,   18.00000    ,   2.996373    ,   3.520000    ,  0.9561502    ,
           1980,            303,   17.70000    ,   2.986592    ,   3.500000    ,  0.9523121    ,
           1980,            304,   17.50000    ,   2.976741    ,   3.430000    ,  0.9484859    ,
           1980,            305,   17.10000    ,   2.966817    ,   3.300000    ,  0.9446659    ,
           1980,            306,   16.20000    ,   2.956772    ,   3.180000    ,  0.9408497    ,
           1980,            307,   16.30000    ,   2.946286    ,  -1.000000    ,  0.9370432    ,
           1980,            308,   14.80000    ,   2.935104    ,  -1.000000    ,  0.9332473    ,
           1980,            309,   14.90000    ,   2.923392    ,  -1.000000    ,  0.9294567    ,
           1980,            310,   16.20000    ,   2.911483    ,  -1.000000    ,  0.9256386    ,
           1980,            311,   15.70000    ,   2.899427    ,  -1.000000    ,  0.9217985    ,
           1980,            312,   12.60000    ,   2.887116    ,  -1.000000    ,  0.9179592    ,
           1980,            313,   11.40000    ,   2.874599    ,  -1.000000    ,  0.9141092    ,
           1980,            314,   11.00000    ,   2.861996    ,  -1.000000    ,  0.9102073    ,
           1980,            315,   10.40000    ,   2.849339    ,  -1.000000    ,  0.9062872    ,
           1980,            316,   10.00000    ,   2.836680    ,  -1.000000    ,  0.9023676    ,
           1980,            317,   9.880000    ,   2.824052    ,  -1.000000    ,  0.8984182    ,
           1980,            318,   9.520000    ,   2.811449    ,  -1.000000    ,  0.8944325    ,
           1980,            319,   9.610000    ,   2.798863    ,  -1.000000    ,  0.8904550    ,
           1980,            320,   9.580000    ,   2.786311    ,  -1.000000    ,  0.8864765    ,
           1980,            321,   9.890000    ,   2.773805    ,  -1.000000    ,  0.8824782    ,
           1980,            322,   10.30000    ,   2.761319    ,  -1.000000    ,  0.8784198    ,
           1980,            323,   10.10000    ,   2.748839    ,  -1.000000    ,  0.8743124    ,
           1980,            324,   10.50000    ,   2.736363    ,  -1.000000    ,  0.8702108    ,
           1980,            325,   10.80000    ,   2.723902    ,  -1.000000    ,  0.8661277    ,
           1980,            326,   10.40000    ,   2.711491    ,  -1.000000    ,  0.8620665    ,
           1980,            327,   10.40000    ,   2.699114    ,  -1.000000    ,  0.8580238    ,
           1980,            328,   10.90000    ,   2.686804    ,  -1.000000    ,  0.8539975    ,
           1980,            329,   11.20000    ,   2.674563    ,  -1.000000    ,  0.8499911    ,
           1980,            330,   12.00000    ,   2.662370    ,  -1.000000    ,  0.8460019    ,
           1980,            331,   12.60000    ,   2.650230    ,  -1.000000    ,  0.8420337    ,
           1980,            332,   13.00000    ,   2.638124    ,  -1.000000    ,  0.8380823    ,
           1980,            333,   13.20000    ,   2.626079    ,  -1.000000    ,  0.8341481    ,
           1980,            334,   12.90000    ,   2.614092    ,  -1.000000    ,  0.8302339    ,
           1980,            335,   12.20000    ,   2.602145    ,  -1.000000    ,  0.8263419    ,
           1980,            336,   12.70000    ,   2.590244    ,  -1.000000    ,  0.8224681    ,
           1980,            337,   12.60000    ,   2.578390    ,  -1.000000    ,  0.8186155    ,
           1980,            338,   12.40000    ,   2.566579    ,  -1.000000    ,  0.8147855    ,
           1980,            339,   12.60000    ,   2.554817    ,  -1.000000    ,  0.8109779    ,
           1980,            340,   11.30000    ,   2.543085    ,  -1.000000    ,  0.8071919    ,
           1980,            341,   11.30000    ,   2.531389    ,  -1.000000    ,  0.8034295    ,
           1980,            342,   10.10000    ,   2.519727    ,  -1.000000    ,  0.7996888    ,
           1980,            343,   9.660000    ,   2.508100    ,  -1.000000    ,  0.7959702    ,
           1980,            344,   8.600000    ,   2.496528    ,  -1.000000    ,  0.7922740    ,
           1980,            345,   8.490000    ,   2.484999    ,  -1.000000    ,  0.7885985    ,
           1980,            346,   7.990000    ,   2.473502    ,  -1.000000    ,  0.7849465    ,
           1980,            347,   7.880000    ,   2.462051    ,  -1.000000    ,  0.7813143    ,
           1980,            348,   7.960000    ,   2.450670    ,  -1.000000    ,  0.7777047    ,
           1980,            349,   8.080000    ,   2.439352    ,  -1.000000    ,  0.7741157    ,
           1980,            350,   8.240000    ,   2.428099    ,  -1.000000    ,  0.7705480    ,
           1980,            351,   8.550000    ,   2.416922    ,  -1.000000    ,  0.7670011    ,
